Protein,Model,ROC-AUC,F1,Precision,Recall,Accuracy
EGFR,Logistic Regression,0.7764962374287925,0.5142857142857142,0.3576158940397351,0.9152542372881356,0.66
EGFR,Random Forest,0.777269850200436,0.4742268041237113,0.34074074074074073,0.7796610169491526,0.66
EGFR,XGBoost,0.7782544482734369,0.49261083743842365,0.3472222222222222,0.847457627118644,0.6566666666666666
BACE1,Logistic Regression,0.8598814229249012,0.7632508833922261,0.7448275862068966,0.782608695652174,0.7788778877887789
BACE1,Random Forest,0.8395915678524374,0.704119850187266,0.7286821705426356,0.6811594202898551,0.7392739273927392
BACE1,XGBoost,0.8717391304347826,0.7642857142857142,0.7535211267605634,0.7753623188405797,0.7821782178217822
HIV_Protease,Logistic Regression,0.7896086934718287,0.268733850129199,0.17889908256880735,0.5397923875432526,0.8967655642023347
HIV_Protease,Random Forest,0.7997865442184879,0.40421792618629176,0.4107142857142857,0.39792387543252594,0.9587791828793775
HIV_Protease,XGBoost,0.8040384351227424,0.37132784958871917,0.28113879003558717,0.5467128027681661,0.9349464980544747
